claim_amount,frequency,amount_ratio,doc_match,time_gap,fraud
16795,8,1.2955106448626967,1,83,1
38194,8,3.0893796004206098,0,3,1
2685,5,1.5178066704352742,1,30,0
3433,5,0.18488797931925893,1,22,0
7396,9,0.7651562176701842,1,42,1
19431,3,6.702656088306313,1,64,1
12394,5,2.534560327198364,1,73,1
15502,2,1.3332759955276512,1,14,0
9433,9,2.6115725359911406,1,92,1
24483,7,1.4584499910645141,1,47,1
41994,1,16.245261121856867,1,2,1
2021,6,0.1711986446421008,1,54,1
10692,2,1.358059189635463,1,74,0
27557,4,2.198579862773257,0,87,1
26851,9,2.817819288487774,1,24,1
13185,9,1.7985268039830855,1,41,1
39044,1,2.2678903345724906,1,88,0
3027,8,0.18432590427475337,1,81,1
34159,3,2.4995609541928876,0,103,1
39952,7,4.253833049403748,1,34,1
24599,7,7.121887666473654,1,37,1
31818,8,2.659256163811116,1,65,1
33482,5,3.6753018660812296,1,1,1
18412,7,2.327686472819216,1,27,1
1206,3,0.07121766859572458,1,113,0
42523,4,2.2215662713546838,0,103,1
2678,4,0.15571578090475638,1,86,0
23299,2,1.9544501300226491,1,57,0
45020,6,3.0152032683678254,0,30,1
43941,7,2.6300951696893518,1,62,1
24776,1,10.744145706851691,1,116,1
10474,7,1.6039816232771822,1,37,1
32968,3,2.266620831900997,1,79,0
8994,6,0.476402351819482,1,113,1
47576,4,2.5475769745649264,1,2,1
24938,1,9.460546282245827,1,81,1
27736,2,4.834582534425658,1,87,1
25548,1,1.709010636162954,0,44,1
39559,6,6.6698701736638,0,56,1
13688,6,4.114217012323414,1,98,1
1197,6,0.4085324232081911,1,16,1
26184,9,2.5325466679562822,1,80,1
16708,3,0.9260100870143546,1,36,0
7546,3,0.808095952023988,1,71,0
19227,9,0.9940029985007496,1,82,1
12111,1,4.322269807280514,1,89,1
48025,7,2.7215799614643545,1,90,1
26199,9,1.5082033273847217,1,2,1
32616,5,3.998038734984065,1,99,1
43642,3,7.936352064011638,1,33,1
13183,4,0.9501946086204411,1,36,0
43405,8,2.616966116001447,1,89,1
17482,9,1.1522541523859742,1,110,1
12969,6,0.7071428571428572,1,33,1
39467,1,7.913976338480048,1,8,1
47214,3,8.232606800348735,1,76,1
42914,3,3.1194301083084977,1,110,1
15373,6,3.4655094679891794,1,8,1
20738,2,1.2465736955999038,1,28,0
40790,1,4.534237438861716,1,4,1
38410,1,4.425625072012905,0,92,1
19589,5,1.6661563323977204,1,105,0
34828,8,7.879638009049774,1,53,1
1699,1,1.4277310924369748,1,32,0
7102,1,2.5220170454545454,1,54,1
1569,3,0.5419689119170984,0,114,1
8455,6,0.44336654431043526,0,27,1
11729,2,0.8852743603290815,1,33,0
41328,6,4.95361380798274,1,42,1
20190,3,1.0501950585175552,1,13,0
24355,7,1.8280417323425655,1,65,1
13039,3,0.9052975074637228,1,32,0
11966,6,0.6663325537364962,1,22,1
32289,6,2.9603924085449713,0,15,1
30749,5,1.8832067613914747,1,60,0
4051,5,2.1593816631130065,0,94,1
5142,3,0.6454933467235752,0,16,1
29940,2,1.6615794439203064,1,19,0
22136,8,1.2153288679038103,1,58,1
48030,5,5.160077352814783,0,9,1
35699,5,1.874160016799664,0,1,1
47175,6,2.6291590035111185,0,109,1
46952,7,4.403676608516226,1,93,1
9130,3,0.6391767012041445,0,29,1
10435,5,0.847684809098294,0,110,1
14245,4,1.1723314953501769,0,48,1
30222,4,5.543286867204696,1,10,1
15069,5,3.9150428682774745,1,10,1
24289,3,6.961593579822298,1,69,1
17364,4,2.5245710962489096,1,92,1
26471,4,1.3880237009071366,1,35,0
36195,1,7.239,1,43,1
39155,3,5.990667074663403,1,43,1
25107,2,8.146333549643089,1,90,1
26351,2,2.686684339314845,1,58,1
25052,2,2.0304749554222727,1,36,0
34496,5,2.725448368491744,1,24,1
48295,3,2.8328836227123415,1,36,1
38841,1,12.35793827553293,1,62,1
33479,5,2.5668174499731657,1,13,1
44286,9,11.314767501277466,0,17,1
45912,4,3.0223158449081695,1,13,1
1698,3,0.10946364105208871,0,61,1
8400,3,1.6244440146973507,1,28,0
18101,4,2.7907801418439715,0,69,1
38259,9,3.154080791426216,1,53,1
2167,9,1.050921435499515,0,42,1
22689,7,3.9603770291499387,1,87,1
9924,2,1.6975709887102293,0,74,1
18337,1,1.4650846915947586,1,46,0
47732,8,6.527006700396554,1,27,1
20065,2,1.060293806806172,1,38,0
27962,8,1.8884311474302695,1,86,1
42459,1,4.998704968212856,1,4,1
36909,3,4.864127569847127,1,39,1
26289,3,1.594722474977252,1,13,0
22233,4,1.575021252479456,1,39,0
40298,9,18.201445347786812,1,25,1
34591,1,5.737435727317963,1,58,1
37395,5,3.1154711322169457,0,99,1
31354,4,2.4680415617128464,1,105,0
39413,1,3.722421609369097,1,3,1
20087,7,2.475597732314518,1,96,1
12023,8,7.212357528494302,1,92,1
37487,2,24.358024691358025,0,41,1
5835,6,0.7019971126082772,1,117,1
36547,3,2.6721503253637495,1,69,1
11136,2,11.036669970267592,1,114,1
30548,5,15.16029776674938,1,65,1
35961,1,6.971888328809616,1,59,1
7938,1,0.5373679935012186,0,105,1
41034,1,29.226495726495727,0,6,1
13763,1,1.2673112338858195,1,53,0
24574,5,5.300690250215704,1,74,1
14456,5,2.066028297841932,1,45,0
18100,4,3.2647907647907646,1,32,1
27657,8,1.7855897733875654,1,54,1
44125,3,8.227671079619617,1,108,1
42348,9,2.605389442598745,1,85,1
13173,2,0.7849949347476313,1,98,0
7949,2,0.8815570588887657,1,91,0
11209,4,1.0624644549763034,1,119,0
44088,5,7.482688391038696,0,56,1
20856,1,4.038729666924865,1,53,1
6569,3,0.9055693410532121,0,55,1
16183,6,1.185828387191324,1,25,1
19271,3,11.567226890756302,1,50,1
29732,3,2.1403786624433088,1,22,0
14716,6,1.995119305856833,1,46,1
43928,9,3.823816155988858,1,86,1
11478,8,0.8569508735254592,1,61,1
5432,4,0.37287204832509613,0,99,1
23195,8,1.6552486976379077,1,28,1
9150,8,0.5464317706778142,1,14,1
16034,8,2.6173685928827948,1,23,1
20181,2,2.3268765133171914,1,115,0
36854,9,5.459851851851852,1,74,1
2062,9,0.11038543897216274,1,90,1
48915,9,6.711717892425906,1,25,1
43563,3,2.472922343324251,1,111,0
7371,6,0.4796017958227601,1,40,1
16728,3,0.9890616685389937,1,6,0
20123,2,1.8020059102713353,1,70,0
4812,9,0.255359796221609,0,70,1
2605,7,0.33539333075833655,0,75,1
11589,8,0.8250747543784708,0,31,1
5324,4,0.5265552368707348,0,66,1
42427,4,4.313001931483176,1,94,1
19935,6,1.4005198819727414,1,66,1
1846,8,0.11266402197131523,1,44,1
7469,6,0.4241821899136756,1,12,1
